code,name,start_date,end_date,cup_formed,reason
000001,平安银行,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000002,万 科Ａ,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000006,深振业Ａ,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000007,全新好,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000008,神州高铁,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000009,中国宝安,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000010,美丽生态,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000011,深物业A,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000012,南 玻Ａ,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000014,沙河股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000016,深康佳Ａ,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000017,深中华A,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000019,深粮控股,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000020,深华发Ａ,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000021,深科技,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000025,特 力Ａ,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000026,飞亚达,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000027,深圳能源,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000028,国药一致,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000029,深深房Ａ,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000030,富奥股份,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000031,大悦城,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000032,深桑达Ａ,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000034,神州数码,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000035,中国天楹,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000036,华联控股,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000037,深南电A,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000039,中集集团,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000042,中洲控股,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000045,深纺织Ａ,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
000048,京基智农,2024-09-01,2025-05-26,False,Insufficient data (need 310+ days)
